#,Nome,Fuori lista,Sq.,Under,R.,R.MANTRA,PGv,MV,FM,FVM/1000,QUOT.,FantaSquadra,Costo
7314,Taylor K.,,Lazio,24,C,C/T,1,6,6,29,13,,
4964,Vicario,,Juventus,30,P,Por,1,6,6,29,16,,
4923,Colombo,,Genoa,24,A,Pc,1,6,5.5,28,11,,
7078,Mastantuono,,Fiorentina,19,C,W/T,1,5.5,5,27,12,,
6966,Butez,,Como,31,P,Por,1,6,6,27,16,,
572,Meret,,Napoli,29,P,Por,1,6,6,27,11,,
2038,Pinamonti,,Sassuolo,27,A,Pc,0,0,0,26,13,,
4409,Rrahmani,,Napoli,32,D,Dc,1,6.5,7,26,14,,
4159,Akanji,,Inter,31,D,Dc,1,5.5,5.5,26,16,,
4431,Carnesecchi,,Atalanta,26,P,Por,1,6.5,6.5,26,16,,
7023,Pellegrino M.,,Fiorentina,25,A,Pc,1,5,4.5,25,15,,
7436,Alajbegovic,,Juventus,19,C,W/T,0,0,0,25,12,,
6372,Moreira,,Milan,22,C,W,0,0,0,25,12,,
5792,Ederson D.S.,,Atalanta,27,C,M/C,1,6,6.5,25,12,,
2296,Mancini,,Roma,30,D,Dc,1,6.5,6.5,25,15,,
4312,Maignan,,Milan,31,P,Por,1,6,6,25,15,,
6967,Diao,,Como,21,A,W/A,1,6,6,24,11,,
5172,Jones C.,,Inter,25,C,C,0,0,0,24,12,,
4220,Zambo Anguissa,,Napoli,31,C,C,1,5.5,5.5,24,11,,
5022,Pavlovic,,Milan,25,D,Dc,1,6,6.5,24,14,,
7484,Adams A.,,Venezia,26,A,Pc,1,5.5,5.5,23,12,,
5734,Soulè,,Roma,23,A,A,1,6,6,23,12,,
2531,Lukaku,*,Napoli,33,A,Pc,0,0,0,23,10,,
6684,Ekkelenkamp,,Udinese,26,C,C/T,1,6.5,6.5,23,10,,
2606,Modric,,Milan,41,C,M/C,1,6,6.5,23,12,,
152,Zielinski,,Inter,32,C,C,1,7,7,23,10,,
6956,Solet,,Udinese,26,D,Dc,1,6,6,23,13,,
4976,Kalulu,,Juventus,26,D,Dd/Dc,1,6.5,6.5,23,13,,
6229,Tourè E.,,Parma,25,A,Pc,1,5.5,5,22,11,,
6844,Rowe,,Bologna,23,C,W/T,1,5.5,6,22,11,,
6274,Diouf,,Inter,23,C,E/C,1,7,7,22,8,,
5750,Ostigard,,Genoa,27,D,Dc,1,7,6.5,22,11,,
4317,N'Dicka,,Roma,27,D,Dc,1,6,6,22,13,,
2120,Bastoni,,Inter,27,D,Dc,1,6,6,22,14,,
5589,Konè M.,,Roma,25,C,M/C,1,6,6.5,21,10,,
5119,Samardzic,,Atalanta,24,C,C/T,1,6,6,21,12,,
7347,Bowie,,Sassuolo,24,A,Pc,1,5.5,5.5,20,10,,
4463,Esposito Se.,,Cagliari,24,A,A,0,0,0,20,13,,
7223,Vergara,,Napoli,23,C,W/T,1,7.5,7.5,20,8,,
5844,Thorstvedt,,Sassuolo,27,C,C/T,1,6,6,20,10,,
5800,Gudmundsson A.,,Fiorentina,29,C,T/A,0,0,0,20,13,,
536,Politano,,Napoli,33,C,W,1,5.5,5.5,20,10,,
5982,Spence,,Inter,26,D,E,0,0,0,20,12,,
2816,Di Lorenzo,,Napoli,33,D,Dd/E,1,6.5,6.5,20,12,,
2521,De Gea,,Fiorentina,36,P,Por,1,5.5,5,20,13,,
7554,Romero D.,,Parma,23,A,Pc,0,0,0,19,10,,
7547,Kevin Carlos,,Cagliari,25,A,Pc,0,0,0,19,13,,
5544,David,,Juventus,26,A,Pc,0,0,0,19,9,,
4359,Piccoli,,Bologna,25,A,Pc,1,6,5.5,19,8,,
6151,Perrone,,Como,23,C,M/C,1,6,5.5,19,10,,
6217,Bisseck,,Inter,26,D,Dc,1,7,7,19,11,,
6666,Bernabè,,Parma,25,C,C,1,6,5.5,18,7,,
5562,Thuram K.,,Juventus,25,C,C,0,0,0,18,10,,
